applicant_id,age,annual_income_usd,monthly_income_usd,employment_tenure_years,credit_history_years,debt_to_income_ratio,credit_utilization_ratio,num_open_credit_lines,num_delinquencies_12m,num_late_payments_24m,loan_amount_requested_usd,loan_term_months,prior_defaults_flag,bankruptcies_count,avg_monthly_balance_usd,savings_balance_usd,checking_balance_usd,hard_inquiries_6m,revolving_balance_usd,mortgage_balance_usd,payment_to_income_ratio,secured_loan_ratio,recent_credit_growth_pct,region_risk_index,employment_type_code,housing_status_code,total_outstanding_debt_usd,credit_risk_score
A100131,25,101432.92,8452.74,4.38,3.97,0.4,0.382,4,0,2,258360.25,240,0,0,1839.69,4354.73,3809.77,0,3524.53,103274.99,0.329,0.319,0.363,0.225,1,1,102474.27,611
A100132,43,107201.22,8933.44,2.09,20.87,0.175,0.291,4,0,2,147259.28,48,0,0,3477.83,12872.02,535.8,3,12305.91,122761.28,0.153,0.422,-0.021,0.535,1,3,86629.8,756
A100133,30,206477.71,17206.48,3.24,5.35,0.146,0.751,7,0,1,311844.98,360,0,0,2856.46,11729.48,17258.27,0,20124.99,192219.16,0.093,0.742,0.072,0.556,3,1,150533.99,710
A100134,47,109081.48,9090.12,6.68,25.83,0.266,0.713,5,0,2,55699.15,12,0,0,3874.64,5668.91,5276.15,1,7632.79,103124.81,0.223,0.612,0.263,0.5,2,1,91279.75,667
A100135,32,74318.89,6193.24,13.14,11.55,0.479,0.351,6,0,5,289506.83,240,0,1,2250.37,14219.6,1134.01,4,36557.08,52704.2,0.451,0.221,0.107,0.493,2,2,138623.63,535
A100136,59,144445.06,12037.09,1.17,34.56,0.401,0.132,5,1,2,118808.9,36,0,0,4738.36,9313.08,6307.62,2,10775.14,103934.63,0.272,0.713,-0.108,0.67,1,1,139002.84,832
A100137,33,163507.69,13625.64,2.19,11.2,0.088,0.889,9,1,1,111545.07,240,0,0,3673.71,26263.36,6135.6,1,4650.42,50902.76,0.061,0.301,0.18,0.472,1,1,52078.23,712
A100138,38,43270.32,3605.86,1.48,8.93,0.429,0.916,5,0,0,342796.66,120,0,0,8778.39,6601.26,13522.66,3,3573.36,121226.8,0.394,0.503,0.032,0.275,1,3,80310.62,503
A100139,51,118063.34,9838.61,3.8,26.51,0.16,0.663,7,0,1,383060.36,72,0,0,10450.33,17503.88,3405.38,4,21383.86,269811.7,0.118,0.462,0.502,0.753,3,1,146435.81,657
A100140,28,124997.82,10416.48,7.65,2.74,0.184,0.307,5,0,4,352662.55,240,0,0,8003.84,7129.21,4548.85,0,10038.37,38206.28,0.122,0.154,0.299,0.743,1,2,76508.45,686
A100141,45,72167.61,6013.97,1.31,22.7,0.358,0.732,8,1,2,677272.77,24,0,0,5384.08,8783.14,2523.26,0,15988.42,27697.62,0.317,0.391,0.329,0.493,4,1,63986.4,463
A100142,56,181143.58,15095.3,4.3,26.48,0.111,0.574,8,0,0,410091.05,48,0,1,5269.1,21539.33,7707.79,2,939.84,114985.42,0.094,0.715,0.128,0.658,1,1,82142.65,704
A100143,24,78266.58,6522.21,7.5,4.24,0.449,0.336,6,1,1,107331.6,180,0,0,3327.24,20232.83,2223.17,2,11080.6,55117.14,0.355,0.6,0.176,0.226,4,1,64656.74,626
A100144,44,91078.18,7589.85,3.21,26.6,0.128,0.441,5,1,1,197358.45,360,0,0,3391.95,10544.1,2014.53,0,5825.34,113188.11,0.117,0.687,0.058,0.474,2,1,68338.38,714
A100145,45,77282.05,6440.17,4.95,23.37,0.455,0.165,13,2,1,142426.8,60,0,0,11412.23,12221.27,4233.63,1,2752.55,146766.59,0.42,0.359,-0.031,0.191,3,1,134223.39,702
A100146,51,85731.45,7144.29,9.08,30.05,0.236,0.598,8,0,2,673080.72,60,1,1,1590.49,3739.61,1493.02,0,8533.03,15977.2,0.182,0.775,-0.044,0.702,1,3,50529.13,546
A100147,28,46511.52,3875.96,1.88,6.55,0.264,0.534,5,0,4,369120.19,120,0,0,6093.5,65062.8,19029.6,0,22765.95,204658.93,0.269,0.272,0.505,0.231,1,2,118058.91,608
A100148,27,38498.65,3208.22,0.92,1,0.341,0.34,6,1,1,159203.74,180,0,0,5017.74,31818.41,25498.44,0,61776.23,38389.3,0.331,0.429,0.191,0.426,3,2,107374.43,602
A100149,48,204308.08,17025.67,5.34,29.16,0.368,0.139,7,0,2,318492.27,72,0,1,10497.19,30693.07,2991.71,3,11056.89,107809.65,0.2,0.282,-0.118,0.539,3,1,215797.07,764
A100150,45,53347.25,4445.6,5.44,23.24,0.539,0.259,5,1,2,80804.11,360,0,0,2078.8,3246.43,1291.94,5,4925.62,60766.35,0.354,0.183,0.293,0.648,1,1,56967.92,630
A100151,45,49273.45,4106.12,3.05,29.53,0.529,0.175,7,0,3,211796.73,120,0,0,6565.22,8820.68,6092.21,1,4679.29,66934.8,0.269,0.505,0.592,0.595,1,2,71337.39,621
A100152,46,26004.94,2167.08,2.63,16.43,0.15,0.545,7,1,2,97837.43,24,0,0,8552.21,11450.61,2915.92,1,20407.19,505244.52,0.111,0.526,-0.156,0.706,2,2,204045.28,611
A100153,35,59812.96,4984.41,4.43,22.3,0.726,0.349,10,0,3,60061.67,48,0,0,1416.26,2319.91,12952.52,1,3856.97,146616.62,0.461,0.417,0.228,0.645,4,1,140200.22,582
A100154,45,41056.61,3421.38,1.86,22.42,0.566,0.571,6,2,1,299736.99,72,0,0,2752.03,38960.13,2215.87,4,15276.07,248315.45,0.386,0.7,-0.082,0.736,1,1,144682.66,510
A100155,45,209717.12,17476.43,1.86,28.36,0.391,0.097,10,1,2,324907.67,240,0,0,6039.8,68475.31,7345.88,3,11551.94,126005.76,0.356,0.41,0.328,0.184,1,1,192243.54,720
A100156,34,148124.13,12343.68,6.66,17.57,0.222,0.56,6,0,1,242292.35,48,0,0,9807.23,125778.66,4986.19,1,10515.61,192191.56,0.127,0.273,-0.25,0.413,3,1,131910.37,765
A100157,63,58216.49,4851.37,1.75,44.53,0.349,0.437,8,0,1,159816.82,360,0,1,7521.77,5622.1,2448.42,3,2373.4,160151.6,0.278,0.682,0.134,0.581,2,2,85810.26,679
A100158,47,293386.53,24448.88,0.98,29.41,0.304,0.498,6,0,2,79029.7,60,0,0,10177.36,17991.73,5585.21,3,6644.64,138309.08,0.241,0.686,0.2,0.783,1,1,188353.24,803
A100159,29,145856.36,12154.7,2.63,5.92,0.104,0.206,6,2,1,84612.45,120,0,0,2740.95,60063.78,9922.02,1,2605.93,297948.51,0.08,0.503,-0.129,0.409,1,1,139547.43,822
A100160,49,71093.36,5924.45,3.1,32.1,0.384,0.355,12,2,2,95863.46,12,0,0,1823.58,12415.8,4865.85,1,5458.72,126638.34,0.305,0.664,0.2,0.854,2,2,90247.61,658
A100161,31,22000,1833.33,5.84,4.84,0.471,0.332,7,1,1,154635.26,360,0,1,6954.62,9075.7,4911.77,0,19624.77,860156.27,0.241,0.654,0.036,0.564,1,1,336943.24,532
A100162,51,299666.34,24972.2,2.8,23.67,0.365,0.56,1,1,1,362300.16,360,0,0,2431.04,2475.82,2051.5,5,25626.42,261114.44,0.249,0.193,0.43,0.372,1,2,263467.3,628
A100163,55,39582.47,3298.54,10.01,26.38,0.564,0.14,13,1,2,358604.31,48,0,0,3252.89,49660.57,12602.08,1,10794.98,39444.47,0.544,0.749,-0.136,0.292,2,3,68887.18,598
A100164,33,34387.12,2865.59,4.59,17.12,0.03,0.164,14,1,1,61644.74,360,0,0,13703.14,15694.78,11520.98,5,5542.44,93839.48,0.02,0.419,0.284,0.632,1,1,40641.41,779
A100165,53,149166.78,12430.56,2.36,34.13,0.538,0.16,8,2,2,114704.03,60,0,0,7561.59,7715.62,3109.85,0,34712.82,157252.09,0.527,0.488,0.102,0.385,1,2,270760.95,664
A100166,47,320000,26666.67,5.69,26.93,0.38,0.142,8,0,3,112713.84,240,0,0,4125.91,21251.89,4023.76,1,5480.37,114494.58,0.233,0.81,0.353,0.451,1,1,254136.75,850
A100167,51,181999.02,15166.59,9.91,31.26,0.451,0.153,4,2,2,34723.89,360,0,0,3718.71,18645.3,16068.74,1,3427.71,204111.51,0.269,0.669,0.357,0.529,2,1,224774.55,793
A100168,63,115908.52,9659.04,6.54,37.79,0.217,0.356,8,1,5,260066.01,240,0,0,10681.78,18931.89,1622.33,0,16268.57,225381.7,0.145,0.313,0.075,0.536,1,2,141970.72,719
A100169,39,117891.67,9824.31,1.24,15.73,0.165,0.422,8,0,0,153385.29,360,0,0,7701.22,12877.62,7751.89,1,13280.52,32357.7,0.151,0.348,0.112,0.844,1,2,57790.12,736
A100170,34,135915.02,11326.25,3.3,15.71,0.204,0.141,6,0,1,167237.37,360,0,0,2459.99,81040.33,2721.89,0,5674.8,348434.46,0.146,0.441,0.284,0.571,1,2,182163.05,766
A100171,32,129032.2,10752.68,5.11,11.13,0.31,0.358,4,1,2,431718.19,360,0,0,1368.26,13998.2,22294.67,2,9800.33,70340.28,0.255,0.402,0.214,0.391,1,2,124313.11,595
A100172,33,99216.72,8268.06,6.38,11.13,0.083,0.424,7,1,4,190634.45,48,0,0,29289.93,80794.65,4764.44,4,13105.87,64339.02,0.065,0.302,0.099,0.366,2,1,53640.15,721
A100173,41,90013.7,7501.14,3.82,19.69,0.236,0.562,11,2,3,136044.5,60,0,0,2444.45,28126.32,13991.05,1,10701.15,64152.96,0.182,0.331,-0.03,0.8,4,2,71183.97,632
A100174,46,82123.57,6843.63,3.46,26.94,0.433,0.072,4,0,3,261074.89,180,0,0,9914.11,22731.66,2267.96,0,13294.13,227738.75,0.404,0.311,0.186,0.407,2,2,152192,651
A100175,45,56146.86,4678.9,12.06,27.44,0.451,0.436,4,3,1,358247.31,240,0,0,21766.16,14286.48,1462.87,1,5855.42,86497.84,0.393,0.319,-0.08,0.605,1,1,72742.57,561
A100176,51,72841.07,6070.09,6.6,25.99,0.069,0.427,6,1,2,218254.27,120,0,0,7314.66,42374.44,3644.59,3,14076.87,60538.76,0.045,0.549,0.237,0.535,1,3,41535.05,747
A100177,42,33499.32,2791.61,5.7,24.73,0.294,0.365,7,0,3,281724.63,24,0,0,4020.69,17913.96,5700.15,0,9135.32,75107.25,0.22,0.336,0.32,0.576,1,1,55514.89,625
A100178,58,80524.74,6710.39,2.89,33.17,0.326,0.229,10,1,1,163749.51,360,0,0,2077.08,6299.42,2841.75,1,6026.62,21873.11,0.323,0.467,-0.029,0.752,1,2,62246.28,730
A100179,39,49349.43,4112.45,1.83,16.05,0.378,0.149,11,0,2,170672.98,360,0,0,2054.01,6092.73,8904.48,2,7302.54,51549.01,0.309,0.755,0.045,0.551,1,2,59900.58,707
A100180,70,46324.79,3860.4,5.76,45,0.232,0.11,10,0,2,193721.26,60,0,0,8785.99,24411.96,3725.19,1,8281.37,36048.14,0.139,0.258,0.007,0.647,1,2,49961.64,766
A100181,49,93840.17,7820.01,7.05,24.96,0.367,0.526,8,1,1,110324.74,48,0,0,20750.77,6457.29,691.28,1,2634.39,86334.39,0.223,0.391,0.31,0.555,3,1,115778.35,687
A100182,33,182774.38,15231.2,4.32,13.86,0.172,0.124,8,0,1,124426.7,12,0,0,4737.15,15034.65,7400.95,0,5238.65,199987.39,0.153,0.532,0.13,0.418,3,1,134001.47,825
A100183,30,140854.21,11737.85,6.62,5.74,0.115,0.146,8,2,4,440794.43,48,0,0,4167.12,46052.1,2033.57,1,9510.48,181085.39,0.1,0.404,0.054,0.589,2,1,104105.27,696
A100184,47,35833.24,2986.1,6.72,28.15,0.493,0.407,5,0,3,663897.86,240,0,0,11356.46,21683.66,3249.95,1,2854.46,340888.63,0.33,0.521,0.237,0.383,1,2,147985.6,488
A100185,40,49321.29,4110.11,7.34,17.56,0.427,0.047,8,1,2,506682.97,360,0,0,3754.84,7771.43,18208.63,0,5313.71,278957.27,0.372,0.142,0.034,0.291,3,1,146705.43,603
A100186,50,142604.55,11883.71,1.22,28.2,0.474,0.469,7,0,1,76160.24,36,1,0,8096.15,65534.47,22189.25,0,68317.97,68356.96,0.461,0.234,0.083,0.605,1,2,222648.54,638
A100187,47,49515.37,4126.28,3.36,27.48,0.268,0.265,11,0,2,71525.17,120,0,0,6721.04,27673.19,2680.85,1,3446.49,111904.37,0.256,0.147,-0.081,0.584,1,1,63026.75,760
A100188,41,75121.22,6260.1,5.98,20.26,0.196,0.509,6,0,3,83012.88,240,0,0,4684.35,44273.3,7569.18,0,6494.68,106823.71,0.19,0.254,0.271,0.565,1,1,72354.63,664
A100189,33,115028.5,9585.71,4.48,13.57,0.122,0.226,7,0,2,196430.5,60,0,0,6419.7,1657.04,2737.46,1,4430.73,15871.63,0.104,0.489,-0.077,0.496,1,1,41144.71,768
A100190,25,49902.04,4158.5,6.73,1,0.286,0.324,10,0,2,28999.71,180,0,0,26637.6,22274.48,3476.03,2,8148.92,36779.73,0.217,0.473,0.378,0.487,1,2,57697.82,714
A100191,37,90071.86,7505.99,5.69,17.8,0.273,0.444,6,1,4,122760.57,240,0,0,10542.65,37141.93,2608.77,0,4502.1,94625.06,0.2,0.235,0.163,0.305,1,2,70074.11,723
A100192,51,40810.41,3400.87,0.58,29.28,0.347,0.666,11,1,0,449246.34,360,0,0,15577.11,87608.44,953.29,3,7318.96,94148.52,0.27,0.398,0.092,0.165,1,1,60809.88,604
A100193,44,61062.57,5088.55,8.43,30.36,0.173,0.252,7,1,1,340883.95,72,0,0,3116.92,3701.62,4901.92,3,4886.42,174438.62,0.117,0.319,0.118,0.66,3,1,85115.3,699
A100194,28,101345.08,8445.42,3.07,8.75,0.143,0.222,5,0,2,129288.37,240,1,0,15619.98,53447.68,5832.39,1,22067,166960.6,0.106,0.71,0.428,0.657,1,3,108526.56,663
A100195,44,35392.67,2949.39,2.26,19.46,0.202,0.157,10,1,3,135812.58,60,0,0,10837.57,82844.8,2460.04,0,9646.7,22350.69,0.188,0.463,-0.122,0.455,1,1,34898.65,750
A100196,46,108300.78,9025.07,8.26,22.1,0.335,0.353,8,0,1,260255.53,48,0,0,1958.4,2128.25,11978.22,1,3837.03,175426.02,0.197,0.239,-0.109,0.765,1,2,147923.17,720
A100197,32,84086.87,7007.24,6.42,8.25,0.473,0.553,7,2,1,330590.86,48,0,0,10010.5,25820.79,3039.23,3,18391.74,129180.27,0.281,0.135,0.293,0.59,1,2,108306.32,579
A100198,44,115182.83,9598.57,8.97,22.12,0.178,0.501,5,3,1,127283.59,60,0,0,4311.06,29672.17,2536,0,3985.64,192773.56,0.156,0.51,-0.046,0.561,2,1,106246.09,672
A100199,43,96139.86,8011.66,5.15,19.99,0.127,0.526,4,0,2,154565.65,24,0,0,1887.32,11537.25,7227.77,1,2381.56,287338.05,0.094,0.279,-0.013,0.863,1,2,119039.49,707
A100200,29,179994.9,14999.57,3.33,1.23,0.219,0.57,11,0,3,124592.76,60,0,0,7211.11,9801.1,1122.62,2,8976.76,96726.33,0.12,0.139,0.04,0.274,2,3,97627.95,749
A100201,46,91060.56,7588.38,4.77,27.7,0.659,0.244,8,1,1,75760.7,240,0,1,10004.51,31200.77,10176.58,1,45531.27,337481.19,0.509,0.374,0.323,0.492,2,3,286864.93,578
A100202,48,67119.74,5593.31,1.95,21.09,0.18,0.023,9,0,0,156041.72,180,0,0,7338.16,8650.41,3133.42,2,1903.53,49403.44,0.136,0.373,0.266,0.347,3,2,42152.66,785
A100203,54,90914.08,7576.17,1.45,35.53,0.341,0.245,5,1,1,148502.82,24,0,0,5956.55,12875.67,10962,1,2903.41,46960.93,0.248,0.291,0.095,0.434,1,2,94600.1,696
A100204,54,114601.99,9550.17,2.73,30.79,0.193,0.539,4,1,1,79323.8,60,0,0,4989.49,36054.21,14344.91,2,17062.3,161802.32,0.166,0.416,0.192,0.488,1,1,103643.94,723
A100205,27,87315.18,7276.26,10.6,8.43,0.239,0.178,7,0,1,273940.1,180,0,0,46762.08,92446.65,8006.19,1,5213.5,78932.23,0.148,0.168,0.188,0.492,4,1,71182.24,734
A100206,32,86919,7243.25,2.94,6.61,0.484,0.537,8,1,2,246439.2,60,0,0,2523.75,27400.82,2166.91,3,15140.61,139205.28,0.378,0.305,-0.061,0.307,2,1,133684.5,550
A100207,48,57774.98,4814.58,1,31.15,0.613,0.349,10,0,1,282922.97,72,0,0,13067.65,18284.86,1459.84,0,4416.55,661271.35,0.463,0.782,-0.048,0.512,4,3,320928.26,568
A100208,48,59030.59,4919.22,3.89,30.02,0.584,0.38,13,0,3,109257.9,240,0,0,6580.7,9546.66,1237.89,0,10154.25,156745.89,0.459,0.466,-0.247,0.352,4,1,117994.72,646
A100209,48,39299.76,3274.98,2.91,26.45,0.508,0.536,6,0,0,49582.24,12,1,0,3281.26,5824.01,12142.32,2,39647.48,133144.23,0.291,0.103,0.388,0.715,2,1,124667.72,556
A100210,70,222498.08,18541.51,8.53,45,0.232,0.269,9,2,6,243891.17,60,0,0,6253.13,48529.26,3985.88,2,3260.31,50308.9,0.166,0.5,-0.001,0.638,1,1,91111.47,771
A100211,48,42885.19,3573.77,10.15,28.84,0.202,0.682,6,1,1,116895.88,36,0,0,2132.84,13723.9,2624.2,2,21486.42,23819.36,0.158,0.215,0.122,0.562,2,1,50277.19,677
A100212,54,58064.44,4838.7,3.23,32.47,0.167,0.383,8,3,2,100889.17,36,0,0,4036.63,50566.64,3995.64,2,16038.23,103047.33,0.141,0.582,0.217,0.414,2,1,76275.5,687
A100213,52,57255.7,4771.31,5.15,35,0.398,0.731,7,0,1,79509.17,360,0,0,6260.47,11507.94,11901.17,2,2537.98,287339.25,0.398,0.359,-0.055,0.528,2,1,139658.96,608
A100214,49,139053.63,11587.8,5.43,26.49,0.167,0.389,4,0,2,150505.14,60,0,1,1879.32,8358.68,9069.74,3,14473.07,82255.99,0.147,0.3,-0.033,0.627,2,2,79606.77,700
A100215,39,72271.43,6022.62,4.19,15.53,0.53,0.25,12,1,1,501809.01,120,0,0,9746.5,24370.85,6677.43,3,9574.56,157873.9,0.443,0.564,-0.046,0.439,2,2,139215.68,521
A100216,50,168832.89,14069.41,3.69,34.3,0.115,0.549,6,1,2,129595.06,240,0,0,3006.55,14821.11,7989.87,1,9724.56,397155.51,0.108,0.39,-0.25,0.214,1,2,179173.87,804
A100217,33,58687.77,4890.65,2.14,10.02,0.047,0.401,6,0,0,88640.15,24,0,0,2034.86,4792.54,5292.19,0,11980.31,388325.94,0.035,0.176,0.108,0.629,1,1,154148.18,738
A100218,39,99096.89,8258.07,0.85,16.19,0.513,0.122,8,1,1,274984.18,48,0,0,2738.66,98490.2,5906.06,0,6681.98,161808.68,0.496,0.691,0.541,0.595,1,2,165533.67,608
A100219,37,53689.12,4474.09,2.13,13.25,0.578,0.694,4,0,2,201398.36,360,0,0,37061.01,8547.21,5490.39,1,9552.56,128198.03,0.528,0.24,0.025,0.558,3,2,125533.89,492
A100220,43,276575.34,23047.95,4.09,20.54,0.29,0.437,5,0,2,45395.41,360,0,0,1335.56,40454.6,4499.75,1,11050.32,28042.2,0.211,0.692,0.03,0.363,3,1,138834.37,784
A100221,67,44233.04,3686.09,1.31,43.59,0.362,0.677,4,1,3,276851.69,60,0,0,9213.78,37130.75,8865.03,1,16968.76,62383.77,0.366,0.259,0.053,0.673,2,1,60723.74,616
A100222,21,100791.36,8399.28,4.97,1,0.571,0.407,6,1,0,717993.78,60,0,0,3562.61,4540.9,6229.1,0,2457.48,85438.78,0.476,0.705,0.176,0.707,1,2,146127.23,473
A100223,50,120449.25,10037.44,4.54,27.02,0.336,0.201,5,0,3,33201.95,360,0,0,4912.09,5872.03,2036.91,1,26963.32,51079.43,0.35,0.616,0.279,0.551,1,2,143614.45,727
A100224,24,106723.43,8893.62,2.91,1,0.303,0.43,10,1,1,80620.09,60,0,0,10537.57,11835.21,7243.21,0,3371.06,137563.87,0.247,0.278,-0.03,0.429,1,1,100712.6,693
A100225,37,76764.56,6397.05,3.58,8.84,0.125,0.456,11,0,2,28259.06,36,0,0,10131.58,6732.47,5621.51,2,17194.83,614595.13,0.089,0.17,0.203,0.433,1,1,251551.3,704
A100226,54,79142.49,6595.21,1.52,26.76,0.262,0.232,3,0,1,171401.54,60,0,0,3770.64,89931.21,7801.76,0,9628.75,431154.2,0.18,0.091,0.105,0.429,1,2,194051.49,735
A100227,43,87073.06,7256.09,7.26,21.45,0.117,0.277,9,1,2,342649.45,60,0,0,2193.6,13097.39,4097.15,3,3029.03,136998.81,0.086,0.248,0.174,0.421,1,2,73522.2,703
A100228,30,78398.14,6533.18,7.19,10.5,0.606,0.345,3,1,2,192776.66,24,0,0,10692.2,38952.3,9343.15,0,14099.63,221843.25,0.431,0.094,0.201,0.436,1,3,164934.16,596
A100229,34,144428.53,12035.71,1.76,6.92,0.058,0.68,4,0,1,444857.52,84,0,0,10111.81,26741.75,4258.04,2,4029.45,57096.14,0.054,0.357,-0.056,0.558,2,2,40177.55,635
A100230,49,286700.73,23891.73,1.8,17.85,0.679,0.072,7,0,2,308837.28,240,0,0,5174.93,20834.52,8632.8,0,22324.86,410822.31,0.527,0.658,0.025,0.661,4,1,602316.65,695
A100231,34,62554.04,5212.84,2.15,12.11,0.315,0.322,8,1,4,544219.47,120,0,1,9256.79,16658.32,2983.97,1,4918.56,26969.6,0.185,0.133,0.203,0.761,1,2,41520.86,541
A100232,44,40015.21,3334.6,6.17,20,0.318,0.623,8,0,1,382639.71,24,0,0,4550.05,55131.4,3175.77,2,2525.62,250141.24,0.257,0.346,0.095,0.336,1,1,116327.57,581
A100233,43,80971.41,6747.62,5.42,22.3,0.57,0.13,8,3,2,138524.04,72,0,0,3354.06,7011.11,7736.31,0,33148.35,171830.94,0.453,0.29,0.263,0.365,4,1,172859.22,608
A100234,35,320000,26666.67,8.21,10.88,0.224,0.932,6,0,2,187978.77,240,0,0,6520.64,89920.33,3338.37,1,10499.73,55712.63,0.162,0.401,0.08,0.652,4,1,183489.06,743
A100235,66,54632.57,4552.71,8.77,45,0.285,0.562,7,1,1,102341.66,24,1,0,9845.64,4416.58,32762.41,1,18809.03,91156,0.232,0.261,0.302,0.336,1,1,81550,666
A100236,49,209383.08,17448.59,1.21,29.1,0.464,0.155,5,0,1,154938.82,24,0,0,8324.5,34956.36,7492.32,1,4364.37,39632.64,0.36,0.367,-0.233,0.292,1,2,183845.65,794
A100237,21,213873.92,17822.83,6.03,1,0.502,0.382,6,1,1,187381.65,60,0,0,9768.2,3925.23,4602.08,0,1802.52,41182.13,0.429,0.2,0.178,0.33,1,2,211119.49,659
A100238,44,62688.48,5224.04,8.56,25.5,0.292,0.223,8,0,3,170335,48,0,0,3537.21,11668.39,9412.02,2,37380.41,26272.74,0.248,0.808,-0.112,0.468,1,1,68658.68,754
A100239,35,116232.44,9686.04,3.42,10.78,0.319,0.224,5,0,1,430704.24,360,0,0,23041.73,17564.83,2919.65,3,8950.97,219476,0.262,0.338,0.322,0.794,1,2,165520.17,644
A100240,51,208152.17,17346.01,4.26,26.92,0.598,0.402,11,1,3,145234.2,180,0,0,4942.63,9834.47,10327.3,1,13665.49,325476.69,0.373,0.636,0.093,0.477,1,2,440765.48,669
A100241,33,69001.69,5750.14,3.84,8.68,0.262,0.053,8,2,0,98209.28,60,0,0,5910.14,13342.03,10072.3,1,15726.25,15718.73,0.271,0.363,0.059,0.549,2,3,51283.15,715
A100242,41,75996.1,6333.01,3.96,21.03,0.26,0.068,6,0,1,102279.54,240,0,0,2263.42,3997.3,13905.13,2,6767.57,575336.64,0.154,0.237,-0.029,0.284,1,3,244413.02,769
A100243,48,61727.33,5143.94,7.25,22.94,0.381,0.411,7,0,1,275550.81,60,0,0,5566.23,5960.4,3026.32,2,10908.25,108817.59,0.291,0.835,0.24,0.693,2,1,105427.75,610
A100244,52,48644.32,4053.69,11.79,22.61,0.256,0.278,8,1,0,72306.71,36,0,0,9950.2,26333.8,1497.23,1,34885.95,142786.18,0.166,0.382,0.222,0.657,1,3,100050.46,713
A100245,29,59474.56,4956.21,9.81,8.96,0.283,0.442,4,1,3,157935.36,48,0,0,11962.91,16481.86,2598.51,0,8755.22,29233.31,0.234,0.559,0.069,0.416,2,1,53117.89,647
A100246,38,43357.69,3613.14,3.01,18.68,0.398,0.373,3,0,3,426593.69,180,0,0,22677.08,8020.98,3492.47,1,20045.62,361124.78,0.317,0.61,0.24,0.376,2,1,188426.08,545
A100247,37,86608.43,7217.37,5.16,15.68,0.444,0.21,7,0,1,217706.07,24,0,0,9855.11,60151.51,20177.49,1,1656.43,131723.56,0.337,0.343,0.16,0.672,2,1,110400.12,659
A100248,35,55654.67,4637.89,2.41,11.9,0.165,0.486,7,1,1,171479.44,60,1,0,8111.9,4724.01,32446.36,6,23392.63,306563.21,0.159,0.179,0.136,0.459,1,1,145923.38,567
A100249,61,96663.27,8055.27,2.6,43.12,0.311,0.419,5,0,0,175847.14,48,0,0,4548.36,11145.08,6136.62,2,2468.28,330052.87,0.284,0.4,0.261,0.381,1,2,187572.7,713
A100250,46,36122.24,3010.19,4.14,25.82,0.498,0.87,5,1,1,92179.69,48,0,0,3828.26,9649.75,4538.19,1,21225.9,365719.76,0.369,0.352,0.446,0.434,1,2,175625.89,539
A100251,28,101965.59,8497.13,2.55,1,0.392,0.263,5,1,0,103112.36,240,0,0,14125.77,29595.62,3284.32,4,12544.23,61376.54,0.344,0.108,0.171,0.543,1,2,120094.64,623
A100252,52,134436.53,11203.04,2.84,25.46,0.33,0.158,13,1,0,158552.97,360,0,0,13910.7,16789.48,9452.68,1,8295.32,91223.68,0.32,0.128,0.171,0.632,1,3,128245.73,734
A100253,65,28391.69,2365.97,5.08,45,0.382,0.571,4,0,2,214709.15,240,0,0,2746.13,14359.67,32259.12,2,8269.5,63430.73,0.348,0.676,0.285,0.558,1,1,54835.5,617
A100254,53,104415.94,8701.33,5.98,23.54,0.133,0.345,5,1,1,333370.46,180,0,0,11591.58,2530.39,22451.18,1,7260.17,246181.04,0.101,0.321,-0.051,0.549,1,1,118454.07,726
A100255,25,166979.19,13914.93,5.88,4.72,0.252,0.178,4,1,4,191162,360,1,0,10936.54,38001.41,12531.64,1,4480.15,148425.13,0.148,0.363,0.087,0.457,1,2,156828.58,683
A100256,37,43700.03,3641.67,5.91,13.66,0.178,0.414,7,0,1,433659.67,24,0,0,2666.47,12868.25,12367.22,1,7554.51,287928.08,0.146,0.547,0.051,0.526,2,3,121652.98,628
A100257,56,213271.51,17772.63,1.62,33.83,0.323,0.435,7,0,2,510982.61,36,0,0,10015.84,17961.84,9517.73,1,58796.06,299449.35,0.278,0.559,0.174,0.43,1,3,255469.16,665
A100258,34,107030.27,8919.19,2.45,8.33,0.564,0.363,6,0,1,301835.01,72,0,0,2807.14,7568.73,4312.49,1,27226.35,23241.67,0.388,0.376,0.159,0.451,1,1,114449.02,621
A100259,47,57679.09,4806.59,4.45,29.57,0.164,0.474,8,1,1,399093.12,60,1,0,930.87,6467.31,2319.11,2,4292.51,370989.4,0.128,0.393,0.437,0.756,2,2,147980.33,514
A100260,51,82432.38,6869.36,8.32,31.11,0.299,0.245,8,0,1,94537.17,72,0,0,5718.58,71655.97,4416.49,3,11299.5,258851.68,0.23,0.477,0.39,0.508,2,3,153354.8,750
A100261,32,115553.2,9629.43,15.68,13.67,0.193,0.575,12,1,1,85283.21,48,0,0,7988.91,2716.52,6580.98,1,9765.02,78899.74,0.183,0.46,-0.153,0.434,1,1,72842.1,740
A100262,41,88628.57,7385.71,5.29,23.23,0.151,0.455,12,4,1,252053.04,36,0,0,5928.35,5575.54,1216.29,1,7974.71,150700.41,0.151,0.266,0.184,0.379,1,2,85376.09,623
A100263,21,114316.06,9526.34,6.82,1.97,0.356,0.147,5,3,1,75276.69,120,0,0,64424.09,70321.73,3921.29,0,3837.66,98413.48,0.328,0.153,0.248,0.104,2,1,114825.97,671
